[mass=10.0;maxForwardSpeed=10.0;maxBackwardSpeed=0.0;turnRange=0.349066;brakePower=0.3;enginePower=0.2;steeringPower=0.2]
1;0;0.02;7.806902;0.0;2.417675;
1;0;0.04;7.798902;0.0;2.417675;
1;0;0.06;7.786902;0.0;2.417675;
1;0;0.08;7.770902;0.0;2.417675;
1;0;0.1;7.750902;0.0;2.417675;
1;0;0.12;7.726902;0.0;2.417675;
1;0;0.14;7.698902;0.0;2.417675;
1;0;0.16;7.666902;0.0;2.417675;
1;0;0.18;7.630902;0.0;2.417675;
1;0;0.2;7.590902;0.0;2.417675;
1;0;0.22;7.546902;0.0;2.417675;
1;0;0.24;7.498902;0.0;2.417675;
1;0;0.26;7.446902;0.0;2.417675;
1;0;0.28;7.390902;0.0;2.417675;
1;0;0.3;7.330902;0.0;2.417675;
1;0;0.32;7.266902;0.0;2.417675;
1;0;0.34;7.198902;0.0;2.417675;
1;0;0.36;7.126902;0.0;2.417675;
1;0;0.38;7.050902;0.0;2.417675;
1;0;0.4;6.970902;0.0;2.417675;
1;0;0.42;6.886902;0.0;2.417675;
1;0;0.44;6.798902;0.0;2.417675;
1;0;0.46;6.706902;0.0;2.417675;
1;0;0.48;6.610902;0.0;2.417675;
1;0;0.5;6.510902;0.0;2.417675;
1;0;0.52;6.406902;0.0;2.417675;
1;0;0.54;6.298902;0.0;2.417675;
1;0;0.56;6.186902;0.0;2.417675;
1;0;0.58;6.070902;-0.0;2.417675;
1;0;0.6;5.950902;-0.0;2.417675;
1;0;0.62;5.826902;-0.0;2.417675;
1;0;0.64;5.698902;-0.0;2.417675;
1;0;0.66;5.566902;-0.0;2.417675;
1;0;0.68;5.430902;-0.0;2.417675;
1;0;0.7;5.290902;-0.0;2.417675;
1;0;0.72;5.146902;-0.0;2.417675;
1;0;0.74;4.998902;-0.0;2.417675;
1;0;0.76;4.846902;-0.0;2.417675;
1;0;0.78;4.690902;-0.0;2.417675;
1;0;0.8;4.530902;-0.0;2.417675;
1;0;0.82;4.366902;-0.0;2.417675;
1;0;0.84;4.198902;-0.0;2.417675;
1;0;0.86;4.026902;-0.0;2.417675;
1;0;0.88;3.850902;-0.0;2.417675;
1;0;0.9;3.670902;-0.0;2.417675;
1;0;0.92;3.486902;-0.0;2.417675;
1;0;0.94;3.298902;-0.0;2.417675;
1;0;0.96;3.106902;-0.0;2.417675;
1;0;0.98;2.910902;-0.0;2.417675;
1;0;1.0;2.710902;-0.0;2.417675;
1;0;1.0;2.510902;-0.0;2.417675;
1;0;1.0;2.310902;-0.0;2.417675;
1;0;1.0;2.110902;-0.0;2.417675;
1;-1;1.0;1.910908;0.007461;2.417195;
1;-1;1.0;1.710957;0.023004;2.415615;
1;-1;1.0;1.511165;0.047447;2.412116;
1;-1;1.0;1.311782;0.081887;2.405601;
1;-1;1.0;1.113273;0.127822;2.394573;
1;-1;1.0;0.916444;0.187337;2.376946;
1;-1;1.0;0.722634;0.263379;2.349773;
1;-1;1.0;0.533541;0.35954;2.309462;
1;-1;1.0;0.351791;0.480689;2.251145;
1;-1;1.0;0.181614;0.633626;2.168021;
1;-1;1.0;0.029609;0.82713;2.051312;
1;-1;1.0;8.137404;-0.085212;-1.055739;
1;0;1.0;7.94067;-0.088136;-1.052815;
1;0;1.0;7.741464;-0.09015;-1.050801;
1;0;1.0;7.542295;-0.092257;-1.048693;
1;0;1.0;7.343166;-0.094466;-1.046485;
1;0;1.0;7.14408;-0.096782;-1.044168;
1;-1;1.0;6.944906;-0.092059;-1.041911;
1;-1;1.0;6.745531;-0.08011;-1.039896;
1;-1;1.0;6.54589;-0.060734;-1.038329;
1;-1;1.0;6.346001;-0.033702;-1.037436;
1;-1;1.0;6.146001;0.001239;-1.03747;
1;-1;1.0;5.946192;0.044368;-1.038711;
1;0;1.0;5.746395;0.045683;-1.040026;
1;0;1.0;5.54661;0.047078;-1.041421;
1;0;1.0;5.346839;0.048561;-1.042904;
1;0;1.0;5.147082;0.05014;-1.044483;
1;0;1.0;4.947342;0.051826;-1.046169;
1;0;1.0;4.74762;0.053628;-1.047971;
1;0;1.0;4.547918;0.055561;-1.049904;
1;0;1.0;4.348238;0.057637;-1.05198;
1;0;1.0;4.148583;0.059875;-1.054218;
1;0;1.0;3.948956;0.062293;-1.056636;
1;-1;1.0;3.749455;0.072189;-1.059551;
1;-1;1.0;3.55023;0.089934;-1.063333;
1;-1;1.0;3.351514;0.115964;-1.068419;
1;-1;1.0;3.15368;0.150793;-1.075323;
1;0;1.0;2.956064;0.158388;-1.082918;
1;0;1.0;2.758699;0.166781;-1.091311;
1;0;1.0;2.561629;0.176103;-1.100633;
0;0;1.0;2.364905;0.186516;-1.111046;
0;0;1.0;2.168591;0.198221;-1.122751;
0;1;1.0;1.97248;0.204029;-1.13554;
-1;1;0.97;1.782207;0.20301;-1.148699;
-1;1;0.94;1.597513;0.194462;-1.161757;
-1;1;0.91;1.418176;0.177561;-1.174134;
-1;1;0.88;1.244041;0.151322;-1.185105;
-1;1;0.85;1.075071;0.114558;-1.193765;
-1;1;0.82;0.911387;0.065864;-1.199009;
-1;1;0.79;0.753263;0.003942;-1.199862;
-1;1;0.76;0.601303;-0.072816;-1.195064;
-1;1;0.73;0.456517;-0.166413;-1.182991;
-1;1;0.7;0.320397;-0.279319;-1.161583;
0;1;0.7;0.189264;-0.41499;-1.127382;
0;1;0.7;0.066373;-0.57722;-1.076596;
0;1;0.7;7.026481;1.265629;2.407058;
1;1;0.72;6.996676;1.150282;2.391291;
1;1;0.74;6.95739;1.024689;2.376337;
1;1;0.76;6.908177;0.889055;2.362237;
1;1;0.78;6.848729;0.743657;2.34895;
1;1;0.8;6.778763;0.588756;2.33644;
1;1;0.82;6.698026;0.424598;2.324673;
1;1;0.84;6.606282;0.251413;2.313622;
1;1;0.86;6.503322;0.069419;2.303263;
1;1;0.88;6.38895;-0.121179;2.293574;
1;0;0.9;6.262993;-0.112146;2.284541;
1;0;0.92;6.125289;-0.103759;2.276154;
1;0;0.94;5.975693;-0.096013;2.268408;
1;0;0.96;5.814074;-0.088908;2.261303;
1;0;0.98;5.640311;-0.082453;2.254848;
1;0;1.0;5.457382;-0.076813;2.249208;
1;-1;1.0;5.271134;-0.065356;2.244732;
1;-1;1.0;5.080986;-0.048157;2.241496;
1;-1;1.0;4.886446;-0.025307;2.23959;
1;-1;1.0;4.687131;0.00308;2.239128;
1;-1;1.0;4.487281;0.039371;2.237744;
1;0;1.0;4.287442;0.04086;2.236255;
1;0;1.0;4.087615;0.042465;2.234649;
1;0;1.0;3.887803;0.044203;2.232912;
1;0;1.0;3.688006;0.046088;2.231027;
1;-1;1.0;3.488301;0.055433;2.228663;
1;-1;1.0;3.288804;0.072629;2.22543;
1;-1;1.0;3.089722;0.098142;2.220861;
1;-1;1.0;2.89139;0.13253;2.214398;
1;0;1.0;2.693239;0.139686;2.207242;
1;0;1.0;2.495298;0.147652;2.199276;
1;0;1.0;2.297605;0.156575;2.190353;
1;0;1.0;2.100209;0.166635;2.180293;
1;0;1.0;1.903168;0.178062;2.168866;
1;0;1.0;1.706563;0.191151;2.155777;
1;0;1.0;1.510493;0.206287;2.140641;
1;0;1.0;1.315096;0.223983;2.122945;
1;-1;1.0;1.120901;0.252552;2.101357;
1;-1;1.0;0.928681;0.293829;2.074043;
1;-1;1.0;0.73961;0.350375;2.038441;
1;-1;1.0;0.555506;0.425806;1.990935;
1;-1;1.0;0.379228;0.525227;1.926421;
1;-1;1.0;0.215296;0.655637;1.837899;
1;-1;1.0;0.070773;0.825773;1.716632;
1;-1;1.0;2.855;-0.292991;-1.23314;
1;-1;1.0;2.661828;-0.243571;-1.219728;
1;-1;1.0;2.467673;-0.185764;-1.207722;
1;-1;1.0;2.273474;-0.119188;-1.197504;
1;-1;1.0;2.080455;-0.043313;-1.189602;
1;0;1.0;1.883866;-0.049063;-1.183852;
1;0;1.0;1.684124;-0.052718;-1.180198;
1;0;1.0;1.484424;-0.05696;-1.175956;
0;1;1.0;1.284869;-0.069534;-1.170363;
-1;1;0.97;1.091611;-0.091468;-1.162607;
-1;1;0.94;0.90493;-0.124209;-1.151472;
-1;1;0.91;0.725294;-0.169615;-1.135343;
-1;1;0.88;0.553465;-0.230093;-1.112076;
-1;1;0.85;0.390646;-0.30878;-1.078813;
-1;1;0.82;0.238684;-0.409712;-1.031819;
-1;1;0.79;0.099982;-0.537401;-0.966904;
0;1;0.79;12.776806;1.511396;-2.108944;
0;1;0.79;12.760311;1.442336;-2.120333;
1;1;0.81;12.735544;1.364813;-2.131878;
1;1;0.83;12.702609;1.278931;-2.143476;
1;1;0.85;12.661542;1.184747;-2.154984;
1;1;0.87;12.61228;1.082269;-2.166223;
1;1;0.89;12.554641;0.971462;-2.176977;
