[mass=10.0;maxForwardSpeed=10.0;maxBackwardSpeed=0.0;turnRange=0.349066;brakePower=0.3;enginePower=0.2;steeringPower=0.2]
1;0;0.02;7.806902;0.0;2.417675;
1;0;0.04;7.798902;0.0;2.417675;
1;0;0.06;7.786902;0.0;2.417675;
1;0;0.08;7.770902;0.0;2.417675;
1;0;0.1;7.750902;0.0;2.417675;
1;0;0.12;7.726902;0.0;2.417675;
1;0;0.14;7.698902;0.0;2.417675;
1;0;0.16;7.666902;0.0;2.417675;
1;0;0.18;7.630902;0.0;2.417675;
1;0;0.2;7.590902;0.0;2.417675;
1;0;0.22;7.546902;0.0;2.417675;
1;0;0.24;7.498902;0.0;2.417675;
1;0;0.26;7.446902;0.0;2.417675;
1;0;0.28;7.390902;0.0;2.417675;
1;0;0.3;7.330902;0.0;2.417675;
1;0;0.32;7.266902;0.0;2.417675;
1;0;0.34;7.198902;0.0;2.417675;
1;0;0.36;7.126902;0.0;2.417675;
1;0;0.38;7.050902;0.0;2.417675;
1;0;0.4;6.970902;0.0;2.417675;
1;0;0.42;6.886902;0.0;2.417675;
1;0;0.44;6.798902;0.0;2.417675;
1;0;0.46;6.706902;0.0;2.417675;
1;-1;0.48;6.610913;0.014728;2.417492;
1;-1;0.5;6.511007;0.04381;2.416916;
1;0;0.52;6.407109;0.044425;2.416301;
1;0;0.54;6.299217;0.045082;2.415644;
1;0;0.56;6.187332;0.045785;2.414942;
1;0;0.58;6.071456;0.046535;2.414191;
1;-1;0.6;5.951662;0.059175;2.413188;
1;-1;0.62;5.828087;0.083559;2.411699;
1;-1;0.64;5.700984;0.1196;2.409462;
1;0;0.66;5.569946;0.121997;2.407065;
1;0;0.68;5.434978;0.124569;2.404493;
1;0;0.7;5.296087;0.127332;2.40173;
1;0;0.72;5.15328;0.130303;2.398758;
1;0;0.74;5.006566;0.133505;2.395557;
1;0;0.76;4.855953;0.13696;2.392102;
1;0;0.78;4.701454;0.140696;2.388366;
1;0;0.8;4.54308;0.144744;2.384318;
1;0;0.82;4.380847;0.14914;2.379922;
1;0;0.84;4.214772;0.153927;2.375135;
1;0;0.86;4.044874;0.159154;2.369908;
1;0;0.88;3.871179;0.16488;2.364182;
1;1;0.9;3.69348;0.163124;2.358181;
1;1;0.92;3.511567;0.153784;2.352175;
1;1;0.94;3.325248;0.13669;2.346497;
1;0;0.96;3.135122;0.143017;2.34017;
1;0;0.98;2.941222;0.150105;2.333082;
1;0;1.0;2.74359;0.158094;2.325093;
1;0;1.0;2.546224;0.166974;2.316213;
1;0;1.0;2.349171;0.176899;2.306288;
1;0;1.0;2.152488;0.188063;2.295124;
1;0;1.0;1.956251;0.200712;2.282475;
1;0;1.0;1.760554;0.215156;2.268031;
1;0;1.0;1.565521;0.231801;2.251386;
1;0;1.0;1.371315;0.251178;2.232009;
1;0;1.0;1.178158;0.274001;2.209186;
1;0;1.0;0.986357;0.301249;2.181938;
1;0;1.0;0.796344;0.33429;2.148897;
1;-1;1.0;0.609271;0.382878;2.10729;
1;-1;1.0;0.426909;0.451042;2.053089;
1;-1;1.0;0.252081;0.544674;1.980401;
1;-1;1.0;0.089385;0.672236;1.880764;
1;-1;1.0;8.02138;-0.450157;-1.065104;
1;-1;1.0;7.838175;-0.417254;-1.05612;
1;-1;1.0;7.651893;-0.376709;-1.047796;
1;-1;1.0;7.462653;-0.328441;-1.040213;
1;-1;1.0;7.270892;-0.272387;-1.033435;
1;-1;1.0;7.077307;-0.208462;-1.027547;
1;-1;1.0;6.882888;-0.136561;-1.022654;
1;0;1.0;6.685661;-0.140461;-1.018754;
1;0;1.0;6.487683;-0.1442;-1.015014;
1;-1;1.0;6.289615;-0.140972;-1.011261;
1;-1;1.0;6.091271;-0.130582;-1.007689;
1;-1;1.0;5.892506;-0.112813;-1.004514;
1;-1;1.0;5.693248;-0.087421;-1.00198;
1;-1;1.0;5.493532;-0.054131;-1.000363;
1;-1;1.0;5.293548;-0.012632;-0.999974;
1;-1;1.0;5.093683;0.037426;-1.001163;
1;-1;1.0;4.894689;0.096382;-1.004269;
1;0;1.0;4.69565;0.099761;-1.007648;
1;0;1.0;4.49668;0.103385;-1.011272;
1;-1;1.0;4.297943;0.114524;-1.01543;
1;-1;1.0;4.099656;0.133512;-1.020455;
1;-1;1.0;3.902133;0.160733;-1.026732;
1;0;1.0;3.70482;0.167536;-1.033535;
1;0;1.0;3.507744;0.174935;-1.040934;
1;0;1.0;3.310937;0.183009;-1.049008;
1;0;1.0;3.114437;0.191856;-1.057855;
1;0;1.0;2.918293;0.201589;-1.067588;
1;0;1.0;2.722558;0.212346;-1.078345;
1;0;1.0;2.527302;0.224296;-1.090296;
1;0;1.0;2.332609;0.237645;-1.103644;
0;1;1.0;2.138239;0.245234;-1.118215;
0;1;1.0;1.943921;0.246844;-1.133788;
0;1;1.0;1.749367;0.242195;-1.150082;
-1;1;0.97;1.560126;0.230151;-1.166179;
-1;1;0.94;1.375952;0.209883;-1.18148;
-1;1;0.91;1.196681;0.180387;-1.195223;
-1;1;0.88;1.022221;0.140659;-1.206668;
-1;1;0.85;0.852634;0.089704;-1.2151;
-1;1;0.82;0.688257;0.026274;-1.219571;
-1;1;0.79;0.529749;-0.051222;-1.218812;
-1;1;0.76;0.378148;-0.144847;-1.21111;
-1;1;0.73;0.23496;-0.257276;-1.194168;
-1;1;0.7;0.102259;-0.39191;-1.164994;
-1;1;0.67;7.118589;1.359666;2.415471;
0;1;0.67;7.101547;1.248521;2.400316;
0;1;0.67;7.07493;1.126068;2.386049;
1;1;0.69;7.038408;0.992645;2.372634;
1;1;0.71;6.991607;0.848524;2.360085;
1;1;0.73;6.934246;0.69401;2.348366;
1;1;0.75;6.866076;0.529388;2.337445;
1;1;0.77;6.786868;0.354928;2.327296;
1;1;0.79;6.696416;0.170879;2.317898;
1;0;0.81;6.594534;0.179542;2.309236;
1;0;0.83;6.481054;0.187481;2.301297;
1;0;0.85;6.355826;0.1947;2.294078;
1;0;0.87;6.218713;0.201198;2.28758;
1;0;0.89;6.069597;0.206966;2.281812;
1;0;0.91;5.90837;0.211987;2.276791;
1;1;0.93;5.736732;0.209648;2.271623;
1;1;0.95;5.554815;0.200209;2.266206;
1;1;0.97;5.363978;0.183559;2.260804;
1;1;0.99;5.168411;0.159392;2.255866;
1;0;1.0;4.97103;0.164709;2.25055;
1;0;1.0;4.77383;0.170388;2.24487;
1;0;1.0;4.576829;0.176469;2.238789;
1;0;1.0;4.38005;0.182995;2.232263;
1;0;1.0;4.183517;0.190017;2.225241;
1;0;1.0;3.98726;0.197591;2.217667;
1;1;1.0;3.791032;0.198519;2.209758;
1;1;1.0;3.594575;0.192544;2.20177;
1;1;1.0;3.397645;0.179366;2.194004;
1;1;1.0;3.200043;0.158625;2.18682;
1;0;1.0;3.002678;0.166518;2.178927;
1;0;1.0;2.805589;0.175229;2.170216;
1;0;1.0;2.60882;0.184891;2.160554;
1;0;1.0;2.412427;0.195666;2.149779;
1;0;1.0;2.216478;0.207755;2.13769;
1;0;1.0;2.021061;0.22141;2.124035;
1;0;1.0;1.826284;0.236951;2.108494;
1;0;1.0;1.632291;0.254787;2.090657;
1;0;1.0;1.439269;0.275454;2.069991;
1;0;1.0;1.247467;0.29966;2.045785;
1;0;1.0;1.057227;0.328362;2.017083;
1;0;1.0;0.869026;0.362879;1.982566;
1;0;1.0;0.683547;0.40506;1.940385;
1;0;1.0;0.501801;0.457564;1.887881;
1;0;1.0;0.325323;0.524279;1.821166;
1;-1;1.0;0.157333;0.618922;1.733504;
1;-1;1.0;0.003068;0.751092;1.615296;
1;-1;1.0;2.749802;-0.52145;-1.215603;
1;-1;1.0;2.574924;-0.520031;-1.189097;
1;-1;1.0;2.39928;-0.512564;-1.161657;
1;-1;1.0;2.222304;-0.498827;-1.133507;
1;-1;1.0;2.043455;-0.478543;-1.104922;
1;-1;1.0;1.862787;-0.451719;-1.075895;
1;-1;1.0;1.680644;-0.418394;-1.046388;
1;-1;1.0;1.497557;-0.378543;-1.016426;
1;-1;1.0;1.314247;-0.332037;-0.986138;
1;-1;1.0;1.131597;-0.278578;-0.955821;
1;-1;1.0;0.950628;-0.217602;-0.92604;
0;0;1.0;0.765466;-0.249031;-0.894611;
0;0;1.0;0.575917;-0.282984;-0.860658;
0;0;1.0;0.384998;-0.323316;-0.820326;
-1;1;0.97;0.203146;-0.382865;-0.767973;
-1;1;0.94;0.032372;-0.468042;-0.697421;
-1;1;0.91;12.665646;1.917661;-2.12705;
-1;1;0.88;12.721467;1.899621;-2.13924;
-1;1;0.85;12.771104;1.873006;-2.151068;
-1;1;0.82;12.813424;1.837538;-2.162556;
-1;1;0.79;12.847517;1.792902;-2.173713;
-1;1;0.76;12.87324;1.738743;-2.184534;
