[mass=10.0;maxForwardSpeed=10.0;maxBackwardSpeed=0.0;turnRange=0.349066;brakePower=0.3;enginePower=0.2;steeringPower=0.2]
1;0;0.02;7.806902;0.0;2.417675;
1;0;0.04;7.798902;0.0;2.417675;
1;0;0.06;7.786902;0.0;2.417675;
1;0;0.08;7.770902;0.0;2.417675;
1;0;0.1;7.750902;0.0;2.417675;
1;0;0.12;7.726902;0.0;2.417675;
1;0;0.14;7.698902;0.0;2.417675;
1;0;0.16;7.666902;0.0;2.417675;
1;0;0.18;7.630902;0.0;2.417675;
1;0;0.2;7.590902;0.0;2.417675;
1;0;0.22;7.546902;0.0;2.417675;
1;0;0.24;7.498902;0.0;2.417675;
1;0;0.26;7.446902;0.0;2.417675;
1;0;0.28;7.390902;0.0;2.417675;
1;0;0.3;7.330902;0.0;2.417675;
1;0;0.32;7.266902;0.0;2.417675;
1;0;0.34;7.198902;0.0;2.417675;
1;0;0.36;7.126902;0.0;2.417675;
1;0;0.38;7.050902;0.0;2.417675;
1;0;0.4;6.970902;0.0;2.417675;
1;0;0.42;6.886902;0.0;2.417675;
1;0;0.44;6.798902;0.0;2.417675;
1;0;0.46;6.706902;0.0;2.417675;
1;0;0.48;6.610902;0.0;2.417675;
1;0;0.5;6.510902;0.0;2.417675;
1;0;0.52;6.406902;0.0;2.417675;
1;0;0.54;6.298902;0.0;2.417675;
1;0;0.56;6.186902;0.0;2.417675;
1;0;0.58;6.070902;-0.0;2.417675;
1;0;0.6;5.950902;-0.0;2.417675;
1;0;0.62;5.826902;-0.0;2.417675;
1;0;0.64;5.698902;-0.0;2.417675;
1;0;0.66;5.566902;-0.0;2.417675;
1;0;0.68;5.430902;-0.0;2.417675;
1;0;0.7;5.290902;-0.0;2.417675;
1;0;0.72;5.146902;-0.0;2.417675;
1;0;0.74;4.998902;-0.0;2.417675;
1;0;0.76;4.846902;-0.0;2.417675;
1;0;0.78;4.690902;-0.0;2.417675;
1;-1;0.8;4.530909;0.008979;2.417423;
1;-1;0.82;4.366967;0.027021;2.416622;
1;-1;0.84;4.199206;0.05427;2.414924;
1;0;0.86;4.027468;0.056126;2.413068;
1;0;0.88;3.851755;0.058161;2.411033;
1;0;0.9;3.672071;0.0604;2.408793;
1;0;0.92;3.488421;0.062875;2.406319;
1;0;0.94;3.300808;0.065622;2.403572;
1;-1;0.96;3.109342;0.076297;2.400169;
1;-1;0.98;2.914188;0.095228;2.395634;
1;-1;1.0;2.715619;0.122867;2.389372;
1;-1;1.0;2.51803;0.159791;2.380807;
1;-1;1.0;2.322052;0.206804;2.369134;
1;0;1.0;2.126584;0.219939;2.355999;
1;0;1.0;1.931726;0.234823;2.341115;
1;0;1.0;1.737611;0.251822;2.324116;
1;0;1.0;1.544407;0.271409;2.304529;
1;0;1.0;1.352339;0.294204;2.281734;
1;0;1.0;1.16171;0.321036;2.254902;
1;0;1.0;0.972938;0.353029;2.222909;
1;-1;1.0;0.787149;0.399445;2.183474;
1;-1;1.0;0.606009;0.463457;2.133425;
1;-1;1.0;0.43205;0.549483;2.068342;
1;-1;1.0;0.269178;0.663532;1.982219;
1;-1;1.0;0.123394;0.813169;1.867489;
1;-1;1.0;0.003572;1.006014;1.716532;
1;-1;1.0;7.818371;-0.265594;-1.066159;
1;-1;1.0;7.623157;-0.214704;-1.0612;
1;-1;1.0;7.426484;-0.155886;-1.057186;
1;-1;1.0;7.229236;-0.089042;-1.054217;
1;-1;1.0;7.032588;-0.014051;-1.052412;
1;-1;1.0;6.83803;0.069228;-1.051916;
1;-1;1.0;6.647378;0.160963;-1.052894;
1;0;1.0;6.454077;0.163284;-1.055215;
1;0;1.0;6.258196;0.167058;-1.058989;
1;0;1.0;6.061059;0.171768;-1.063699;
1;0;1.0;5.864087;0.176748;-1.068679;
1;0;1.0;5.667296;0.182023;-1.073954;
1;0;1.0;5.470701;0.187618;-1.079549;
1;1;1.0;5.274058;0.186364;-1.085276;
1;1;1.0;5.07712;0.178047;-1.090921;
1;1;1.0;4.879666;0.162425;-1.096243;
1;0;1.0;4.68239;0.168116;-1.101935;
1;0;1.0;4.485312;0.174217;-1.108036;
1;0;1.0;4.288453;0.180773;-1.114591;
1;0;1.0;4.091839;0.187835;-1.121653;
1;0;1.0;3.8955;0.195463;-1.129282;
1;0;1.0;3.699469;0.203729;-1.137548;
1;0;1.0;3.503787;0.212714;-1.146532;
1;0;1.0;3.308501;0.222514;-1.156332;
1;0;1.0;3.113669;0.233243;-1.167062;
1;0;1.0;2.919357;0.245038;-1.178857;
1;0;1.0;2.725647;0.258061;-1.19188;
1;0;1.0;2.532639;0.27251;-1.206329;
1;0;1.0;2.340453;0.288626;-1.222444;
1;0;1.0;2.14924;0.306703;-1.240522;
1;1;1.0;1.958746;0.319681;-1.260481;
1;1;1.0;1.768674;0.327462;-1.282224;
0;1;1.0;1.578702;0.329922;-1.305629;
-1;1;0.97;1.394164;0.325868;-1.329715;
-1;1;0.94;1.214684;0.3146;-1.354016;
-1;1;0.91;1.039927;0.295277;-1.377933;
-1;1;0.88;0.869647;0.266979;-1.400808;
-1;1;0.85;0.703787;0.228935;-1.42215;
-1;1;0.82;0.542504;0.180139;-1.441255;
-1;1;0.79;0.386189;0.119236;-1.457089;
-1;1;0.76;0.235497;0.044332;-1.468109;
-1;1;0.73;0.091398;-0.047285;-1.471978;
-1;1;0.7;7.451301;1.40423;2.418967;
-1;1;0.67;7.432615;1.303469;2.403848;
0;1;0.67;7.404527;1.191491;2.389526;
1;1;0.69;7.367025;1.068833;2.375767;
1;1;0.71;7.319403;0.935512;2.362837;
1;1;0.73;7.261374;0.791835;2.3507;
1;1;0.75;7.192678;0.638087;2.339326;
1;1;0.77;7.113078;0.474537;2.328686;
1;1;0.79;7.022359;0.30144;2.318758;
1;1;0.81;6.920325;0.119031;2.309522;
1;0;0.83;6.806799;0.127588;2.300964;
1;0;0.85;6.681619;0.135476;2.293076;
1;0;0.87;6.544642;0.1427;2.285853;
1;0;0.89;6.395734;0.149256;2.279297;
1;0;0.91;6.234779;0.155136;2.273416;
1;1;0.93;6.061671;0.152819;2.268226;
1;1;0.95;5.876319;0.142438;2.263752;
1;1;0.97;5.683776;0.123877;2.260261;
1;0;0.99;5.487339;0.127648;2.256489;
1;0;1.0;5.289018;0.131696;2.252441;
1;0;1.0;5.090806;0.136008;2.248129;
1;0;1.0;4.892716;0.14061;2.243527;
1;0;1.0;4.694758;0.145532;2.238605;
1;0;1.0;4.496949;0.150808;2.233329;
1;1;1.0;4.299092;0.149237;2.227919;
1;1;1.0;4.10099;0.140562;2.222631;
1;0;1.0;3.903043;0.146277;2.216917;
1;0;1.0;3.705269;0.152472;2.210721;
1;0;1.0;3.507692;0.159211;2.203982;
1;1;1.0;3.310111;0.159266;2.196946;
1;1;1.0;3.112321;0.152346;2.189904;
1;1;1.0;2.914133;0.138097;2.183209;
1;0;1.0;2.716139;0.145505;2.1758;
1;0;1.0;2.518372;0.153747;2.167558;
1;0;1.0;2.320872;0.16297;2.158335;
1;0;1.0;2.123691;0.173359;2.147946;
1;0;1.0;1.926892;0.185146;2.136159;
1;0;1.0;1.730558;0.19863;2.122675;
1;0;1.0;1.534798;0.2142;2.107105;
1;0;1.0;1.339755;0.232371;2.088934;
1;0;1.0;1.145624;0.253838;2.067467;
1;-1;1.0;0.95307;0.28723;2.041057;
1;-1;1.0;0.763072;0.334851;2.007398;
1;-1;1.0;0.577137;0.399983;1.963211;
1;-1;1.0;0.397636;0.487324;1.903794;
1;-1;1.0;0.228353;0.603537;1.822488;
1;-1;1.0;0.075335;0.757539;1.710374;
1;-1;1.0;2.855501;-0.37641;-1.231194;
1;-1;1.0;2.666639;-0.338048;-1.213705;
1;-1;1.0;2.475946;-0.291855;-1.197066;
1;-1;1.0;2.284022;-0.237604;-1.181505;
1;-1;1.0;2.091716;-0.174956;-1.167358;
1;0;1.0;1.896053;-0.187822;-1.154492;
1;0;1.0;1.699829;-0.201654;-1.14066;
1;0;1.0;1.504202;-0.217651;-1.124663;
1;0;1.0;1.309324;-0.236354;-1.10596;
0;1;1.0;1.115765;-0.266113;-1.083183;
0;1;1.0;0.924353;-0.308809;-1.054449;
-1;1;0.97;0.741953;-0.366062;-1.018356;
-1;1;0.94;0.570069;-0.440703;-0.972302;
-1;1;0.91;0.410857;-0.536217;-0.913046;
-1;1;0.88;0.26736;-0.656635;-0.83682;
-1;1;0.85;0.143701;-0.805973;-0.739888;
-1;1;0.82;0.044952;-0.986732;-0.620048;
-1;1;0.79;12.521296;1.431764;-2.129931;
-1;1;0.76;12.491393;1.363828;-2.140936;
-1;1;0.73;12.453233;1.28571;-2.151325;
-1;1;0.7;12.406552;1.196931;-2.161024;
0;1;0.7;12.351094;1.09777;-2.170315;
